t,Re_p1,Im_p1,Re_p2,Im_p2,g_t
7.859375000000000000e+00,-1.337486597616950428e-02,-8.177804582409547995e-03,-1.912049397880247539e-02,3.315306075636615529e-03,0.000000000000000000e+00
7.875000000000000000e+00,-1.366861052549787209e-02,-1.003899823040407813e-02,-2.048003591220596067e-02,2.245348841518245370e-05,0.000000000000000000e+00
7.890625000000000000e+00,-1.125313935461268351e-02,-9.681131488305749072e-03,-2.079616594780135316e-02,1.673525360015782303e-03,0.000000000000000000e+00
7.906250000000000000e+00,-1.101836798147102538e-02,-4.999017988453466343e-03,-1.663391608294641569e-02,3.940484427822036652e-03,0.000000000000000000e+00
7.921875000000000000e+00,-1.292825070059156790e-02,-7.079936878185293960e-05,-1.560260537098794899e-02,2.548227522089040100e-03,0.000000000000000000e+00
7.937500000000000000e+00,-8.585572048312421420e-03,-3.529142251348869972e-03,-1.646766722433130534e-02,2.409782199734280400e-03,0.000000000000000000e+00
7.953125000000000000e+00,-7.571637084576746633e-03,-3.907674099607813187e-03,-1.764621610817459704e-02,4.884717628876479763e-03,0.000000000000000000e+00
7.968750000000000000e+00,-6.342971364221603597e-03,1.423242303169425455e-03,-1.719561883202632563e-02,7.141622969395135592e-03,0.000000000000000000e+00
7.984375000000000000e+00,-6.705300723986193888e-03,3.850798194875451174e-03,-1.557881542270035148e-02,6.399449593368781823e-03,0.000000000000000000e+00
8.000000000000000000e+00,-5.869288535164100817e-03,2.433514637572130844e-03,-1.588102287995606099e-02,4.363667267534650576e-03,0.000000000000000000e+00
8.015625000000000000e+00,-8.247749295636437605e-03,2.763656921503967936e-03,-1.939058711933762391e-02,7.952549782423212754e-03,0.000000000000000000e+00
8.031250000000000000e+00,-7.308869724226960476e-03,3.755633149260576096e-03,-1.922244804984214739e-02,1.152254310628553560e-02,0.000000000000000000e+00
8.046875000000000000e+00,-5.584024247421606572e-03,1.912802822423803877e-03,-1.770101765648678799e-02,6.374567706086752689e-03,0.000000000000000000e+00
8.062500000000000000e+00,-8.036335266411624018e-03,4.419382903104743243e-03,-2.026682551102499882e-02,4.742198974170542397e-03,0.000000000000000000e+00
8.078125000000000000e+00,-5.669800845666424921e-03,4.082204688553390387e-03,-2.076337593201930606e-02,6.192661493453575222e-03,0.000000000000000000e+00
8.093750000000000000e+00,-5.279457271258738114e-03,4.200271600970602488e-03,-1.876653592583797658e-02,4.253813513321845485e-03,0.000000000000000000e+00
8.109375000000000000e+00,-6.179279268793434754e-03,2.858561232667207030e-03,-1.909896515303741160e-02,3.473842841050432412e-03,0.000000000000000000e+00
8.125000000000000000e+00,-5.024683838572249241e-03,5.081362981488772058e-03,-1.846324233153582087e-02,3.266146741977161289e-03,0.000000000000000000e+00
8.140625000000000000e+00,-4.022747082498098758e-03,2.346797312319131353e-03,-1.651156790866302113e-02,7.538666354478536875e-04,0.000000000000000000e+00
8.156250000000000000e+00,-5.484576192496871429e-03,-2.450212762538565500e-03,-1.529976939893382994e-02,-8.076971884163794109e-04,0.000000000000000000e+00
8.171875000000000000e+00,-6.643203973787872689e-03,-5.633802358900498117e-03,-1.546432959662255059e-02,-1.694834944034431454e-03,0.000000000000000000e+00
8.187500000000000000e+00,-8.197221224051731356e-03,-6.446970311125650201e-03,-1.428591901036198146e-02,-3.162706593521008645e-04,0.000000000000000000e+00
8.203125000000000000e+00,-7.356579597823762959e-03,-5.182174911049657919e-03,-1.412997552923539978e-02,2.717395712212437625e-04,0.000000000000000000e+00
8.218750000000000000e+00,-8.536309352636021683e-03,-7.881093786152195899e-03,-1.471419520377360499e-02,3.845047622012433405e-04,0.000000000000000000e+00
8.234375000000000000e+00,-7.761980604290835174e-03,-8.101136951898587832e-03,-1.612135100407711616e-02,3.639302090878120534e-04,0.000000000000000000e+00
8.250000000000000000e+00,-5.859803823747412529e-03,-6.739578519219104752e-03,-1.393093569187681992e-02,2.299218710807130178e-03,0.000000000000000000e+00
8.265625000000000000e+00,-6.026844562184513303e-03,-8.165981495557816244e-03,-1.178022482104264419e-02,8.569787589147014745e-04,0.000000000000000000e+00
8.281250000000000000e+00,-6.317280112275789998e-03,-8.121049309642771469e-03,-1.359039704050248390e-02,6.894918267580668223e-04,0.000000000000000000e+00
8.296875000000000000e+00,-7.959677903370272756e-03,-5.380489101501943587e-03,-1.376731413300521720e-02,-8.504722835615815624e-04,0.000000000000000000e+00
8.312500000000000000e+00,-9.582611578248512868e-03,-6.581525610278903329e-03,-1.367676773482986649e-02,-2.018982656894472306e-03,0.000000000000000000e+00
8.328125000000000000e+00,-1.215510655358522686e-02,-6.471066878010757126e-03,-1.375754113785369707e-02,-2.380319848438687894e-03,0.000000000000000000e+00
8.343750000000000000e+00,-1.465125033128631196e-02,-3.398956524935521552e-03,-1.337547446008950647e-02,-3.826791821760073387e-06,0.000000000000000000e+00
8.359375000000000000e+00,-1.425229466036583362e-02,-3.119522376038529315e-03,-9.690945443806289750e-03,-4.122649034490004209e-04,0.000000000000000000e+00
8.375000000000000000e+00,-1.697051494059272081e-02,-3.899702382338792253e-03,-1.064898609574379922e-02,-1.272602079977783792e-03,0.000000000000000000e+00
8.390625000000000000e+00,-1.984726437903450158e-02,-5.288556055986094913e-03,-1.006918559236951935e-02,1.316562159958759200e-03,0.000000000000000000e+00
8.406250000000000000e+00,-1.772294893320377346e-02,-1.598932082972612679e-03,-8.131151141347787298e-03,4.276430370815944800e-04,0.000000000000000000e+00
8.421875000000000000e+00,-1.515563770725537884e-02,-1.849947553447468199e-03,-6.591760535180537367e-03,-1.361679766178191826e-03,0.000000000000000000e+00
8.437500000000000000e+00,-1.639262248497274504e-02,-9.604624781072335256e-04,-7.495859855624168420e-03,-1.347846206839344897e-03,0.000000000000000000e+00
8.453125000000000000e+00,-1.515984689988689876e-02,-7.221905964082618026e-04,-9.434215782986633131e-03,-7.709279675159697999e-06,0.000000000000000000e+00
8.468750000000000000e+00,-1.301726818875076873e-02,-1.428667325071833168e-03,-8.921931080943553208e-03,-2.099648528700248586e-04,0.000000000000000000e+00
8.484375000000000000e+00,-1.132081638071887747e-02,-1.506054338236466285e-04,-6.607620718202316008e-03,-1.683268924990703958e-03,0.000000000000000000e+00
8.500000000000000000e+00,-1.234017231089768948e-02,2.945580959835582269e-03,-8.047084697877175674e-03,-4.053493105191075495e-03,0.000000000000000000e+00
8.515625000000000000e+00,-1.065866525323165559e-02,5.587968760832783509e-03,-8.404362678350455959e-03,-3.536014995077591590e-03,0.000000000000000000e+00
8.531250000000000000e+00,-1.016476452605069927e-02,5.047768515673001916e-03,-7.479106756123021088e-03,-4.247667324621621360e-03,0.000000000000000000e+00
8.546875000000000000e+00,-8.592667761185713432e-03,6.917316254517033060e-03,-9.049114898527166329e-03,-5.166303186850678721e-03,0.000000000000000000e+00
8.562500000000000000e+00,-8.167035147093886990e-03,9.850356170099532765e-03,-9.517901431066412218e-03,-4.371940862897329486e-03,0.000000000000000000e+00
8.578125000000000000e+00,-5.272625628532573612e-03,1.061492667540747670e-02,-7.631979720025201461e-03,-5.455033566874945179e-03,0.000000000000000000e+00
8.593750000000000000e+00,-3.791030619116337545e-03,8.405724332065156457e-03,-7.931747770637478587e-03,-5.724370407965530608e-03,0.000000000000000000e+00
8.609375000000000000e+00,-3.634275006062997505e-03,9.111903439708470345e-03,-5.436636303888931279e-03,-3.273800832012995279e-03,0.000000000000000000e+00
8.625000000000000000e+00,-1.957888953282080520e-03,7.761125786537697614e-03,-3.364604050489006411e-03,-4.714572009725533953e-03,0.000000000000000000e+00
8.640625000000000000e+00,-3.427294270199061910e-03,7.348351229636685897e-03,-5.090519636143100816e-03,-5.439219941995959012e-03,0.000000000000000000e+00
8.656250000000000000e+00,-3.532558954647488543e-03,5.970780001813663987e-03,-5.342986683097543897e-03,-4.803631599564386033e-03,0.000000000000000000e+00
8.671875000000000000e+00,-2.087148509637039209e-03,6.047949663478430563e-03,-3.949004798754135633e-03,-4.925561571994254220e-03,0.000000000000000000e+00
8.687500000000000000e+00,-2.057809505986627017e-03,4.023238588291935293e-03,-2.940533327929696367e-03,-4.578898584768803341e-03,0.000000000000000000e+00
8.703125000000000000e+00,-9.948031723363201777e-04,3.382652878957470056e-03,-3.429339664596941280e-03,-3.771900857404110723e-03,0.000000000000000000e+00
