t_z,z_t_puf1,z_t_puf2
6.25e-10,1.6500795059927147e-05,7.04759446331103e-05
6.265625e-10,1.721275130423597e-05,7.11866971215212e-05
6.28125e-10,1.8517019337445452e-05,7.142345175837086e-05
6.296875000000001e-10,1.966215749992831e-05,7.17260926478449e-05
6.312500000000001e-10,2.084486870275012e-05,7.181275970358096e-05
6.328125e-10,2.0487089951267377e-05,7.14921051125337e-05
6.34375e-10,2.160368257374533e-05,7.185557785650868e-05
6.359375e-10,2.121963478986584e-05,7.101754642864246e-05
6.375e-10,2.1497463975552e-05,7.092849880344235e-05
6.390625e-10,2.1612487828843404e-05,6.99599482970846e-05
6.40625e-10,2.1875616099640732e-05,7.053433540522945e-05
6.421875000000001e-10,2.2296086161001034e-05,6.957420664688105e-05
6.4375e-10,2.2875141488816947e-05,6.831134393719517e-05
6.453125e-10,2.3406913102933138e-05,6.668439067804925e-05
6.46875e-10,2.268669473563734e-05,6.567339122231559e-05
6.484375e-10,2.3168278057024277e-05,6.464452358908478e-05
6.5e-10,2.387525896947664e-05,6.341572971114345e-05
6.515625e-10,2.4084798814872483e-05,6.18224531751909e-05
6.531250000000001e-10,2.379642098087546e-05,6.06021650815138e-05
6.546875000000001e-10,2.4054386391990683e-05,5.9578964408218816e-05
6.5625e-10,2.344854064817441e-05,5.7676852412799696e-05
6.578125e-10,2.3689374303452145e-05,5.539790536019068e-05
6.59375e-10,2.478768383290865e-05,5.2067457348195246e-05
6.609375e-10,2.588263952295097e-05,4.939970157630763e-05
6.625e-10,2.5709086506554806e-05,4.794802738433819e-05
6.640625000000001e-10,2.720524475290328e-05,4.636105012768651e-05
6.656250000000001e-10,2.8178153673752584e-05,4.540199441268442e-05
6.671875e-10,2.9033960106745458e-05,4.438178380426835e-05
6.6875e-10,2.9469760435428736e-05,4.29372358537853e-05
6.703125e-10,2.931858515764969e-05,4.2043904139723163e-05
6.71875e-10,2.9508784935858972e-05,4.0059195044992456e-05
